,score,answer
0,6.369158199959202e-06,Chicago
1,0.38109272718429565,India
2,6.478056491232564e-08,NotSpecified
3,6.478056491232564e-08,NotSpecified
4,5.848263029406553e-08,not in London
5,7.380249007837847e-05,Atlanta
6,6.478056491232564e-08,NotSpecified
7,0.017751529812812805,India
8,0.0006672855233773589,CO
9,0.05246838182210922,Ontario
10,0.012804488651454449,Ireland
11,6.478056491232564e-08,NotSpecified
12,0.38109272718429565,India
13,2.2815393094788305e-06,London
14,0.06987539678812027,Minnesota
15,1.977208974324185e-08,Far away from #DictatorDan
16,9.744560713897954e-09,Southern NH
17,0.049699995666742325,USA
18,0.38109272718429565,India
19,0.12016957253217697,United States
20,0.43010637164115906,India
21,0.001187850022688508,WA
22,0.04075293987989426,India
23,0.017751529812812805,India
24,0.0029431553557515144,NY
25,0.0005146214389242232,Essex
26,0.007564393337816,California
27,0.0008160746656358242,Denver
28,0.35093238949775696,Canada
29,5.773102748207748e-05,London
30,0.002599084284156561,England
31,1.3863404092262499e-05,बार
32,0.005534823052585125,Texas
33,0.020424650982022285,USA
34,2.4171042056764236e-08,"Derby, Burton, Tamworth, Lichfield"
35,6.478056491232564e-08,NotSpecified
36,5.815025724587031e-05,HOUSEDinUK
37,5.58181376675293e-08,Warrington
38,6.478056491232564e-08,NotSpecified
39,6.478056491232564e-08,NotSpecified
40,0.017751529812812805,India
41,0.21949262917041779,India
42,0.012804488651454449,Ireland
43,0.04274745285511017,NV
44,6.478056491232564e-08,NotSpecified
45,6.478056491232564e-08,NotSpecified
46,1.020940180751495e-05,"Washington, DC || Los Angeles"
47,0.0041998266242444515,VA
48,0.01460607722401619,UK
49,0.01460607722401619,UK
50,0.004508479963988066,Virginia
51,0.0011921417899429798,NC
52,0.38109272718429565,India
53,6.478056491232564e-08,NotSpecified
54,6.478056491232564e-08,NotSpecified
55,0.3451429009437561,USA
56,0.0360240675508976,IN
57,6.478056491232564e-08,NotSpecified
58,6.478056491232564e-08,NotSpecified
59,0.03557894751429558,South Australia
60,6.478056491232564e-08,NotSpecified
61,6.478056491232564e-08,NotSpecified
62,0.03093058243393898,England
63,6.478056491232564e-08,NotSpecified
64,2.4948108148237225e-06,Melbourne
65,2.211428181908559e-05,CO
66,6.478056491232564e-08,NotSpecified
67,0.02818167954683304,United Kingdom
68,1.4314720075958576e-08,Dr. Diana S. Perdue
69,0.38145285844802856,Finland
70,0.43010637164115906,India
71,6.478056491232564e-08,NotSpecified
72,0.000365723593859002,....Where I am!
73,0.02922235056757927,"Texas, USA"
74,0.13812734186649323,Australia
75,3.1984065572032705e-05,London
76,1.637703483936548e-08,iOS • Android
77,0.0008362537482753396,Texas
78,0.03093058243393898,England
79,0.011418127454817295,Iowa
80,1.5321685253866235e-08,In My Bag
81,0.002047251909971237,CA
82,1.2926424460601993e-05,Murika
83,1.118310244407894e-08,The World
84,6.478056491232564e-08,NotSpecified
85,6.478056491232564e-08,NotSpecified
86,0.01738167181611061,California
87,6.478056491232564e-08,NotSpecified
88,0.24292698502540588,USA
89,0.0026668538339436054,New York
90,0.020424650982022285,USA
91,6.478056491232564e-08,NotSpecified
92,0.0438079908490181,Québec
93,0.2634648084640503,Germany
94,4.602458375302376e-06,Lancs
95,0.017751529812812805,India
96,0.18063244223594666,United Kingdom
97,6.322040491113512e-08,Luton to nowhere 2007
98,0.002271211938932538,London UK
99,0.023718783631920815,"Cheshire,UK"
100,0.38109272718429565,India
101,0.16656874120235443,UK
102,0.04823888838291168,UK
103,0.4787428379058838,India
104,0.18063244223594666,United Kingdom
105,6.478056491232564e-08,NotSpecified
106,0.000743467069696635,WV
107,0.04989750683307648,"Florida, USA"
108,6.478056491232564e-08,NotSpecified
109,6.478056491232564e-08,NotSpecified
110,0.0018888753838837147,England
111,2.548181510064751e-05,MO
112,4.16694732052747e-08,The world is my oyster
113,0.017703941091895103,Virginia
114,0.8103747367858887,India
115,0.07895585149526596,USA
116,1.8624126596478163e-06,"Bradford, West Yorkshire"
117,0.020424650982022285,USA
118,0.01622832752764225,IN
119,0.12016957253217697,United States
120,0.001280353288166225,Somewhere on earth
121,7.19924719305709e-06,New York City
122,0.06465226411819458,England
123,0.0002464735880494118,CA
124,0.02922235056757927,"Texas, USA"
125,0.00895373523235321,north london
126,2.943947220046539e-05,EDEN
127,0.001834444236010313,Delhi
128,1.740333388511317e-08,Originating from parts unknown
129,5.462576950776565e-07,Cardiff
130,0.3451429009437561,USA
131,6.478056491232564e-08,NotSpecified
