,label,score
0,NEGATIVE,0.9977587461471558
1,NEGATIVE,0.978396475315094
2,NEGATIVE,0.9984092116355896
3,NEGATIVE,0.9991231560707092
4,NEGATIVE,0.9997678399085999
5,NEGATIVE,0.9986798167228699
6,NEGATIVE,0.9626443386077881
7,NEGATIVE,0.6638772487640381
8,POSITIVE,0.9900279641151428
9,NEGATIVE,0.999138355255127
10,NEGATIVE,0.7446882724761963
11,NEGATIVE,0.9434766173362732
12,NEGATIVE,0.9893715381622314
13,NEGATIVE,0.9916979074478149
14,NEGATIVE,0.997832715511322
15,NEGATIVE,0.9969658255577087
16,POSITIVE,0.9970207810401917
17,POSITIVE,0.9966444969177246
18,NEGATIVE,0.9884911775588989
19,NEGATIVE,0.9994608759880066
20,NEGATIVE,0.9812530875205994
21,NEGATIVE,0.9956609606742859
22,NEGATIVE,0.9935430288314819
23,NEGATIVE,0.9994035959243774
24,NEGATIVE,0.9898399114608765
25,NEGATIVE,0.7256160378456116
26,NEGATIVE,0.9981813430786133
27,NEGATIVE,0.9994931221008301
28,NEGATIVE,0.9980535507202148
29,NEGATIVE,0.9860332608222961
30,NEGATIVE,0.9973963499069214
31,NEGATIVE,0.9901511669158936
32,NEGATIVE,0.9878042936325073
33,NEGATIVE,0.9893202781677246
34,NEGATIVE,0.9576060771942139
35,NEGATIVE,0.9900638461112976
36,NEGATIVE,0.9827702045440674
37,NEGATIVE,0.9974837303161621
38,NEGATIVE,0.9934631586074829
39,NEGATIVE,0.9966149926185608
40,NEGATIVE,0.9939740300178528
41,NEGATIVE,0.9871254563331604
42,POSITIVE,0.9878571033477783
43,NEGATIVE,0.9879790544509888
44,NEGATIVE,0.9966561794281006
45,NEGATIVE,0.7202833890914917
46,NEGATIVE,0.9993300437927246
47,NEGATIVE,0.9989994168281555
48,NEGATIVE,0.9837003350257874
49,POSITIVE,0.9991360306739807
50,NEGATIVE,0.9907180666923523
51,POSITIVE,0.864822268486023
52,NEGATIVE,0.9865137934684753
53,NEGATIVE,0.9983139038085938
54,NEGATIVE,0.9997300505638123
55,NEGATIVE,0.9939610958099365
56,NEGATIVE,0.9841179847717285
57,NEGATIVE,0.9996868371963501
58,NEGATIVE,0.9804663062095642
59,POSITIVE,0.998563826084137
60,NEGATIVE,0.9956667423248291
61,NEGATIVE,0.9993420243263245
62,NEGATIVE,0.9737969040870667
63,NEGATIVE,0.9973464012145996
64,POSITIVE,0.9924355149269104
65,NEGATIVE,0.9978154897689819
66,POSITIVE,0.9983842372894287
67,NEGATIVE,0.9405217170715332
68,NEGATIVE,0.9980541467666626
69,NEGATIVE,0.9984425902366638
70,NEGATIVE,0.998238205909729
71,NEGATIVE,0.9958659410476685
72,NEGATIVE,0.9948632121086121
73,NEGATIVE,0.991211473941803
74,NEGATIVE,0.9907039999961853
75,NEGATIVE,0.9957746863365173
76,NEGATIVE,0.9988881945610046
77,NEGATIVE,0.9995318651199341
78,NEGATIVE,0.9715996980667114
79,POSITIVE,0.9971542358398438
80,NEGATIVE,0.6664677858352661
81,NEGATIVE,0.9978601336479187
82,NEGATIVE,0.9959325194358826
83,POSITIVE,0.9390383362770081
84,NEGATIVE,0.9913215041160583
85,NEGATIVE,0.9923532605171204
86,NEGATIVE,0.9884729981422424
87,NEGATIVE,0.9959386587142944
88,NEGATIVE,0.9923924207687378
89,NEGATIVE,0.9205380082130432
90,NEGATIVE,0.9998015761375427
91,NEGATIVE,0.996211051940918
92,NEGATIVE,0.9914692044258118
93,POSITIVE,0.8688586950302124
94,POSITIVE,0.9939225316047668
95,NEGATIVE,0.9847463369369507
96,NEGATIVE,0.9880686402320862
97,NEGATIVE,0.9977226853370667
98,NEGATIVE,0.995725154876709
99,NEGATIVE,0.9846031069755554
100,NEGATIVE,0.9907800555229187
101,NEGATIVE,0.9980725049972534
102,NEGATIVE,0.9996576309204102
103,NEGATIVE,0.9176102876663208
104,NEGATIVE,0.9945476055145264
105,NEGATIVE,0.9985911250114441
106,POSITIVE,0.9965946078300476
107,NEGATIVE,0.9921731948852539
108,POSITIVE,0.9470856785774231
109,NEGATIVE,0.9864104390144348
110,NEGATIVE,0.997412383556366
111,NEGATIVE,0.9974151849746704
112,POSITIVE,0.956474781036377
113,NEGATIVE,0.9953798055648804
114,NEGATIVE,0.987418532371521
115,NEGATIVE,0.9956784844398499
116,NEGATIVE,0.8277280926704407
117,NEGATIVE,0.9301745295524597
118,NEGATIVE,0.9981855750083923
119,POSITIVE,0.998938262462616
120,NEGATIVE,0.9961013793945312
121,NEGATIVE,0.9966697096824646
122,NEGATIVE,0.9923936128616333
123,NEGATIVE,0.999768078327179
124,POSITIVE,0.9288355112075806
125,NEGATIVE,0.991706132888794
126,NEGATIVE,0.9990422129631042
127,NEGATIVE,0.9951615929603577
128,NEGATIVE,0.9921867847442627
129,POSITIVE,0.9499489665031433
130,NEGATIVE,0.9948825836181641
131,NEGATIVE,0.9620348215103149
132,NEGATIVE,0.9991900324821472
133,NEGATIVE,0.9958296418190002
134,NEGATIVE,0.9964208602905273
135,NEGATIVE,0.996638298034668
136,NEGATIVE,0.9960407018661499
137,NEGATIVE,0.9947168231010437
138,NEGATIVE,0.9768663048744202
139,POSITIVE,0.6271789073944092
140,NEGATIVE,0.9961918592453003
141,NEGATIVE,0.7584101557731628
142,POSITIVE,0.9825748801231384
143,NEGATIVE,0.9992413520812988
144,NEGATIVE,0.9969915151596069
145,NEGATIVE,0.9816509485244751
146,POSITIVE,0.9981603026390076
147,POSITIVE,0.9920679330825806
148,NEGATIVE,0.6374403238296509
